Timestamp,How comfortable are you with d3 now?,Why do you want to learn d3?,Have you used any of the following technologies?,What kind of projects do you want to use d3 for?,Are you comfortable with for loops?,Do you remember trigonometry?,Does the word gestalt mean anything to you?,What is your favorite tool for data visualization so far?,Have you used any of the following libraries?,Which feature of d3 get you most excited?,Which formats would you be interested in paying for to learn d3?,What city are you in?
3/9/2015 14:51:22,I looked at some examples!,"For fun, For work, To express myself","JavaScript, HTML, CSS, Adobe Illustrator, Excel, Python","Portfolio site, Web application interface, Scientific explanation, Infographic",i++,something about angles right?,Principles!,code,"jQuery, Backbone.js",data binding,"1 day in person workshop, multi-day in person workshop",San Francisco 
3/9/2015 14:51:27,I looked at some examples!,For work,"Adobe Illustrator, Excel, Tableau","Web application interface, Scientific explanation, Infographic",No,something about angles right?,Nope,illustrator,,transitions,on-line course (6-8 weeks),Belgium
3/9/2015 14:56:40,"selectAll("".answers"").enter()","For fun, For work, For school, To get a job, To express myself","JavaScript, HTML, CSS, Adobe Illustrator, Excel, R, Python","Web application interface, Scientific explanation, Infographic",i++,SOHCAHTOA!,Principles!,code,"jQuery, Processing, pandas, ggplot2",data binding,not interested in paying,Juneau
3/9/2015 14:59:35,I looked at some examples!,"For fun, For work","JavaScript, HTML, CSS, Adobe Illustrator, Sketch App","Portfolio site, Web application interface",i++,something about angles right?,Nope,code,"jQuery, Processing, AngularJS, Backbone.js",transitions,on-line course (6-8 weeks),New York
3/9/2015 15:00:02,I looked at some examples!,"For fun, For work, To get a job, To express myself","JavaScript, HTML, CSS, Adobe Illustrator, Excel","Web application interface, News articles, Infographic",i++,SOHCAHTOA!,Principles!,Illustrator with Scriptographer,Processing,data binding,on-line course (6-8 weeks),"Harare, Zimbabwe"
3/9/2015 15:05:12,I've forked a bl.ock or two,"For fun, For work","JavaScript, HTML, CSS, Adobe Illustrator, Excel, Python",Web application interface,i++,SOHCAHTOA!,Nope,code,"jQuery, React.js, pandas",reusable charts,,"Seattle, WA"
3/9/2015 15:08:57,I looked at some examples!,"For fun, For work, To get a job, To express myself","JavaScript, HTML, CSS, Excel, R","Web application interface, Business intelligence, Infographic",i++,its a sinh!,Principles!,code,"jQuery, Processing, AngularJS, Backbone.js",reusable charts,on-line course (6-8 weeks),Aveiro 
3/9/2015 15:12:16,"selectAll("".answers"").enter()","For fun, For work, To express myself","JavaScript, HTML, CSS, Excel, R","Business intelligence, Infographic",i++,SOHCAHTOA!,Principles!,code,jQuery,transitions,"on-line course (6-8 weeks), multi-day in person workshop, 1:1 tutoring","Oakland, CA"
3/9/2015 15:30:20,I looked at some examples!,"For fun, For work","JavaScript, HTML, Excel, Tableau, Matlab, R, Python","Portfolio site, Web application interface, Business intelligence, Scientific explanation",i++,SOHCAHTOA!,Nope,R,"jQuery, AngularJS, pandas, ggplot2",reusable charts,on-line course (6-8 weeks),
3/9/2015 15:32:55,I've forked a bl.ock or two,To get a job,"JavaScript, HTML, CSS, Adobe Illustrator, Excel, R, Python","Portfolio site, Web application interface, News articles, Scientific explanation, Infographic",i++,its a sinh!,Principles!,code,"jQuery, AngularJS, React.js, Ember.js, pandas, ggplot2",reusable charts,"on-line course (6-8 weeks), 1 day in person workshop, multi-day in person workshop, 1 day online workshop, 1:1 tutoring","Washington, DC"
3/9/2015 15:40:45,I looked at some examples!,"For fun, For work, To get a job, To express myself","JavaScript, HTML, CSS, Excel","Portfolio site, Web application interface, Business intelligence",i++,something about angles right?,Nope,pen & paper,"jQuery, AngularJS, Backbone.js",data binding,"1 day in person workshop, 1 day online workshop",Huntsville
3/9/2015 16:00:56,I've forked a bl.ock or two,"For fun, For work","JavaScript, HTML, CSS, Adobe Illustrator, Sketch App, Excel, Matlab, R, Python","Portfolio site, Web application interface, Business intelligence, Scientific explanation, Infographic",i++,its a sinh!,Nope,pen & paper,"React.js, pandas, ggplot2",no idea,"on-line course (6-8 weeks), 1:1 tutoring",
3/9/2015 16:02:43,I looked at some examples!,For school,"JavaScript, HTML, CSS, Adobe Illustrator, Sketch App, Excel, Tableau","Portfolio site, Infographic",No,something about angles right?,Principles!,illustrator,Processing,transitions,1 day online workshop,Vancouver
3/9/2015 16:03:54,I've forked a bl.ock or two,"For fun, To get a job, To express myself","JavaScript, HTML, CSS, Excel, R","Portfolio site, Infographic",i++,SOHCAHTOA!,Nope,code,ggplot2,data binding,1 day in person workshop,"Wethersfield, CT"
3/9/2015 16:04:09,I've forked a bl.ock or two,"For fun, For work","JavaScript, HTML, CSS, Python","Portfolio site, Scientific explanation",i++,SOHCAHTOA!,Nope,code,"jQuery, Processing",reusable charts,multi-day in person workshop,Melbourne
3/9/2015 16:04:19,Someone told me I should learn it...,"For fun, For work","JavaScript, HTML, CSS, Excel, Python",Scientific explanation,i++,its a sinh!,Principles!,code,jQuery,data binding,1 day online workshop,montréal
3/9/2015 16:04:22,"selectAll("".answers"").enter()",For fun,"JavaScript, HTML, CSS, Excel, Python","Web application interface, Infographic",i++,its a sinh!,Principles!,code,"jQuery, Processing, Ember.js, ggplot2",transitions,"on-line course (6-8 weeks), 1 day online workshop, book",Seattle
3/9/2015 16:04:36,I looked at some examples!,"For fun, To get a job","JavaScript, HTML, CSS, Matlab, R",Web application interface,i++,something about angles right?,Principles!,R + shiny,"jQuery, AngularJS, ggplot2",data binding,on-line course (6-8 weeks),Budapest
3/9/2015 16:04:45,I looked at some examples!,"For fun, For work, To get a job, To express myself","Excel, R, Python","Portfolio site, Infographic",i++,SOHCAHTOA!,Principles!,code,"pandas, ggplot2",no idea,"on-line course (6-8 weeks), 1 day in person workshop",Edinburgh
3/9/2015 16:04:49,I looked at some examples!,For work,"JavaScript, HTML, CSS, Adobe Illustrator, Matlab",Business intelligence,i++,its a sinh!,Principles!,code,"jQuery, AngularJS, Ember.js, Backbone.js",reusable charts,None of the above - I'm more into self-paced.,San Francisco
3/9/2015 16:05:02,"selectAll("".answers"").enter()","For fun, For work, To get a job, To express myself","JavaScript, HTML, CSS, Sketch App, Excel, Tableau, Matlab, R, Python","Portfolio site, Web application interface, News articles, Scientific explanation, Infographic",i++,its a sinh!,Principles!,code and pen and paper,"jQuery, Processing, AngularJS, Backbone.js, pandas, ggplot2",scale is really nice,"multi-day in person workshop, self paced, so I can skip easy stuff",San Francisco
3/9/2015 16:06:18,I looked at some examples!,"For work, To express myself","JavaScript, HTML, CSS, Adobe Illustrator, Excel","Scientific explanation, Infographic",i++,who's that?,Principles!,illustrator,jQuery,Diversity of chart types,"on-line course (6-8 weeks), multi-day in person workshop, 1:1 tutoring",Ottawa
3/9/2015 16:06:39,"selectAll("".answers"").enter()",For work,"JavaScript, HTML, CSS, Adobe Illustrator, Sketch App, Excel, Tableau, R, Python","Portfolio site, Web application interface, News articles, Infographic",No,something about angles right?,Nope,code,jQuery,data binding,on-line course (6-8 weeks),NYC
3/9/2015 16:06:46,I've forked a bl.ock or two,"For fun, For work, For school, To get a job, To express myself","JavaScript, HTML, CSS, Excel, Tableau, Matlab, R, Python","News articles, Business intelligence, Scientific explanation",i++,its a sinh!,Nope,Tableau,"pandas, ggplot2",no idea,1 day in person workshop,New York City
3/9/2015 16:06:57,"selectAll("".answers"").enter()","For fun, For work","JavaScript, HTML, CSS, Excel, R, Python","Portfolio site, Business intelligence, Scientific explanation",i++,its a sinh!,Nope,code,"jQuery, AngularJS, pandas, ggplot2",no idea,1:1 tutoring,Florianópolis
3/9/2015 16:07:14,I looked at some examples!,"For fun, For work, To express myself","JavaScript, HTML, Adobe Illustrator, Excel, Tableau, R, Python","Web application interface, Business intelligence, Scientific explanation",i++,SOHCAHTOA!,Nope,code,"pandas, ggplot2",reusable charts,1 day in person workshop,Vancouver
3/9/2015 16:07:16,I've forked a bl.ock or two,"For fun, For school, To get a job, To express myself","JavaScript, HTML, CSS, Excel, Matlab, Python","Portfolio site, Business intelligence, Scientific explanation, Infographic",i++,something about angles right?,Principles!,pen & paper,"jQuery, pandas",transitions,multi-day in person workshop,
3/9/2015 16:07:32,I looked at some examples!,"For fun, For work","JavaScript, HTML, CSS, R, Python","Portfolio site, Scientific explanation",i++,SOHCAHTOA!,Nope,code,"jQuery, AngularJS, React.js, Ember.js, Backbone.js, pandas, ggplot2",reusable charts,"on-line course (6-8 weeks), 1 day in person workshop, multi-day in person workshop","Edinburgh, UK"
3/9/2015 16:07:32,I looked at some examples!,"For fun, For work","Adobe Illustrator, Excel, Tableau","Portfolio site, Infographic",i++,SOHCAHTOA!,Nope,excel,,interactivity/hover-over,"1 day in person workshop, multi-day in person workshop, 1 day online workshop",Chicago
3/9/2015 16:07:51,I've forked a bl.ock or two,"For work, To get a job","HTML, CSS, Excel","Web application interface, News articles, Infographic",i++,its a sinh!,Nope,code,jQuery,data binding,1:1 tutoring,Caen
3/9/2015 16:08:45,I looked at some examples!,"For fun, For work, To get a job, To express myself","JavaScript, HTML, CSS, Adobe Illustrator, Excel","Portfolio site, Web application interface, Infographic",i++,SOHCAHTOA!,Principles!,pen & paper,"jQuery, Backbone.js",no idea,"1 day in person workshop, multi-day in person workshop, 1 day online workshop","Washington, DC"
3/9/2015 16:09:47,I looked at some examples!,"For fun, For work, For school, To get a job, To express myself","JavaScript, HTML, CSS, Adobe Illustrator, Excel, R","Portfolio site, Web application interface, Business intelligence, Infographic",i++,SOHCAHTOA!,Principles!,illustrator,"jQuery, AngularJS, ggplot2",transitions,Student = no money,New York city
3/9/2015 16:12:29,"selectAll("".answers"").enter()","For fun, To get a job","JavaScript, HTML, CSS, Adobe Illustrator, Sketch App, Excel","Web application interface, Scientific explanation, Infographic",i++,who's that?,Nope,code,"jQuery, AngularJS, React.js",transitions,on-line course (6-8 weeks),"Madison, WI"
3/9/2015 16:12:49,"selectAll("".answers"").enter()",For work,"JavaScript, HTML, CSS, Excel",Web application interface,i++,something about angles right?,Nope,code,jQuery,data binding,"on-line course (6-8 weeks), 1 day in person workshop, multi-day in person workshop",buenos aires
3/9/2015 16:12:53,I looked at some examples!,"For fun, For work, To get a job, To express myself","HTML, CSS, Adobe Illustrator, Excel","Portfolio site, Infographic, Web maps",No,something about angles right?,Nope,OmniGraffle,,data binding,on-line course (6-8 weeks),Portland
3/9/2015 16:13:14,Someone told me I should learn it...,For work,Excel,Business intelligence,No,SOHCAHTOA!,Nope,excel,,reusable charts,1 day in person workshop,San Francisco
3/9/2015 16:14:41,I've forked a bl.ock or two,"For fun, To express myself","JavaScript, HTML, CSS, Excel","Web application interface, Infographic",i++,something about angles right?,Nope,,jQuery,transitions,1 day in person workshop,NYC
3/9/2015 16:14:52,"selectAll("".answers"").enter()","For fun, To express myself","HTML, CSS, Python",Web application interface,i++,SOHCAHTOA!,Principles!,pen & paper,"jQuery, Ember.js, pandas",reusable charts,"on-line course (6-8 weeks), multi-day in person workshop, 1:1 tutoring",Boston
3/9/2015 16:16:53,"selectAll("".answers"").enter()","For fun, For work, To express myself","JavaScript, HTML, CSS, Excel, R, Python","Portfolio site, Scientific explanation, Infographic",i++,SOHCAHTOA!,Nope,code,ggplot2,no idea,1 day in person workshop,"Washington, DC"
3/9/2015 16:22:33,I looked at some examples!,"For fun, For work","JavaScript, HTML, CSS, Excel, Matlab, Python","Web application interface, Scientific explanation",i++,its a sinh!,Principles!,excel,"jQuery, AngularJS",reusable charts,,
3/9/2015 16:25:39,I've forked a bl.ock or two,"For work, To express myself","JavaScript, HTML, CSS, Adobe Illustrator, Excel","Portfolio site, Infographic, Survey Results for Open Source Project",i++,its a sinh!,Principles!,code,"jQuery, AngularJS, Backbone.js","all of above except ""no idea"" :)",on-line course (6-8 weeks),Los Angeles
3/9/2015 16:25:50,I looked at some examples!,For work,"JavaScript, HTML, CSS, Excel","Web application interface, Business intelligence, Infographic",i++,its a sinh!,Principles!,excel,jQuery,reusable charts,on-line course (6-8 weeks),Glasgow
3/9/2015 16:26:24,I looked at some examples!,"For fun, For work","JavaScript, HTML, CSS, Sketch App, Excel, Python","Web application interface, Scientific explanation, real time plots",i++,its a sinh!,Nope,pen & paper,"jQuery, Processing, React.js, Backbone.js",no idea,,
3/9/2015 16:26:35,I've forked a bl.ock or two,"For fun, For work, To express myself","JavaScript, HTML, CSS, Adobe Illustrator, Excel, Python",social change art,i++,something about angles right?,Principles!,pen & paper,,transitions,1 day in person workshop,San Francisco
3/9/2015 16:26:44,I've forked a bl.ock or two,"For fun, For work, To express myself","JavaScript, HTML, CSS, Adobe Illustrator, Sketch App, Excel, Tableau, Matlab, R, Python","Web application interface, Business intelligence, Scientific explanation, Infographic",i++,SOHCAHTOA!,Principles!,code,"jQuery, Processing, AngularJS, Ember.js, Backbone.js",data binding,"1 day in person workshop, multi-day in person workshop",Boston
3/9/2015 16:27:28,I've forked a bl.ock or two,For work,"JavaScript, HTML, Excel, R, Python",Web application interface,i++,SOHCAHTOA!,Nope,excel,"jQuery, ggplot2",reusable charts,1 day online workshop,St. Louis
3/9/2015 16:28:05,I looked at some examples!,"For fun, For work, To get a job","R, Python","Web application interface, Business intelligence, Scientific explanation, Infographic",i++,its a sinh!,Nope,pen & paper,"AngularJS, pandas",data binding,,
3/9/2015 16:29:23,"selectAll("".answers"").enter()","For fun, For work, To get a job","JavaScript, HTML, CSS, Adobe Illustrator, Excel, Matlab, R, Python","Portfolio site, Web application interface, Scientific explanation",i++,something about angles right?,Principles!,code,"jQuery, Processing, AngularJS, Backbone.js, pandas, ggplot2",data binding,"multi-day in person workshop, 1 day online workshop",Seattle
3/9/2015 16:29:41,I looked at some examples!,"For fun, For work, To express myself","JavaScript, HTML, CSS, Excel","Web application interface, Business intelligence, Infographic",i++,SOHCAHTOA!,Nope,excel,jQuery,reusable charts,"on-line course (6-8 weeks), 1 day in person workshop, 1 day online workshop",
3/9/2015 16:31:00,"selectAll("".answers"").enter()",To express myself,"JavaScript, HTML, CSS, Excel",Web application interface,i++,something about angles right?,Nope,code,"jQuery, React.js, Backbone.js",transitions,on-line course (6-8 weeks),Skopje
3/9/2015 16:31:54,"selectAll("".answers"").enter()",For work,"JavaScript, HTML, CSS","Web application interface, Scientific explanation",,something about angles right?,Nope,pen & paper,AngularJS,behaviors,learn by checking out examples source code,madrid
3/9/2015 16:34:15,I looked at some examples!,"For fun, To express myself","JavaScript, HTML, Sketch App, Python",Infographic,i++,its a sinh!,Nope,excel,,data binding,"on-line course (6-8 weeks), 1 day in person workshop",New York
3/9/2015 16:34:24,"selectAll("".answers"").enter()","For fun, For work","JavaScript, HTML, CSS, Excel, Tableau","Web application interface, Business intelligence, Scientific explanation",i++,SOHCAHTOA!,Nope,pen & paper,"jQuery, Backbone.js",transitions,,
3/9/2015 16:38:02,I've forked a bl.ock or two,"For fun, For work, To express myself","JavaScript, HTML, CSS, Excel, Tableau, Matlab, R, Python","Web application interface, Business intelligence, Scientific explanation, Infographic",i++,SOHCAHTOA!,Principles!,code,"jQuery, Processing, pandas",data binding,,Delft
3/9/2015 16:38:31,I looked at some examples!,"For fun, For work","JavaScript, HTML, Excel, Python","Business intelligence, Infographic, toys",i++,SOHCAHTOA!,Nope,code,Processing,data binding,1 day online workshop,edinburgh
3/9/2015 16:41:03,I looked at some examples!,"For fun, For work","HTML, CSS, Adobe Illustrator, Tableau, R, Python","Portfolio site, Web application interface, News articles, Business intelligence, Scientific explanation, Infographic",i++,SOHCAHTOA!,Principles!,code,"jQuery, ggplot2",no idea,"on-line course (6-8 weeks), multi-day in person workshop, 1 day online workshop, 1:1 tutoring",London
3/9/2015 16:42:00,"selectAll("".answers"").enter()",For work,"JavaScript, HTML, CSS, Excel, Tableau, Matlab, R, Python",Scientific explanation,i++,its a sinh!,Principles!,Opengl,"jQuery, pandas, ggplot2",transitions,,
3/9/2015 16:44:03,Someone told me I should learn it...,"For fun, For work, To express myself","Excel, R, Python","Web application interface, Business intelligence, Infographic",i++,its a sinh!,Nope,ggplot2,ggplot2,no idea,"1 day in person workshop, multi-day in person workshop",San Francisco
3/9/2015 16:44:48,"selectAll("".answers"").enter()","For fun, For work, To get a job, To express myself","JavaScript, HTML, CSS, Adobe Illustrator, Excel, Tableau, Matlab","Portfolio site, Web application interface, Infographic",i++,something about angles right?,Nope,code,"jQuery, Processing, Backbone.js",data binding,1 day in person workshop,London
3/9/2015 16:44:59,Someone told me I should learn it...,"For fun, To express myself","HTML, Excel, R","Scientific explanation, Infographic",No,SOHCAHTOA!,Principles!,excel,ggplot2,no idea,"on-line course (6-8 weeks), 1 day online workshop","St Louis, MOh"
3/9/2015 16:49:28,I looked at some examples!,"For fun, For work, For school, To express myself","JavaScript, HTML, CSS, Excel, Tableau, Matlab, R, Python","Web application interface, Business intelligence",i++,SOHCAHTOA!,Nope,excel and R ggplot2,"jQuery, pandas, ggplot2",,1:1 tutoring,Blacksburg
3/9/2015 16:50:45,I've forked a bl.ock or two,"For fun, For work","JavaScript, HTML, CSS, Sketch App, Python","Web application interface, Business intelligence",i++,SOHCAHTOA!,Principles!,code,"jQuery, Processing, Backbone.js",data binding,"1 day in person workshop, multi-day in person workshop, 1 day online workshop",san francisco
3/9/2015 16:51:32,I looked at some examples!,To get a job,"JavaScript, HTML, CSS, Adobe Illustrator, Excel, Python","Portfolio site, Cartography",i++,SOHCAHTOA!,Nope,illustrator,,no idea,"on-line course (6-8 weeks), 1 day online workshop",Allentown
3/9/2015 16:59:50,"selectAll("".answers"").enter()","For fun, For work","JavaScript, HTML, CSS, Excel","Web application interface, News articles",i++,something about angles right?,Principles!,code,jQuery,data binding,"on-line course (6-8 weeks), 1 day in person workshop, 1 day online workshop",D.C.
3/9/2015 17:02:05,I've forked a bl.ock or two,"For fun, For work","JavaScript, HTML, CSS, Adobe Illustrator, Sketch App, Excel, Matlab, R, Python","Web application interface, Business intelligence, Scientific explanation, Infographic",i++,its a sinh!,Nope,pen & paper,"jQuery, AngularJS, React.js",transitions,"on-line course (6-8 weeks), 1 day online workshop",london
3/9/2015 17:02:52,I looked at some examples!,"For fun, For work, To express myself","JavaScript, HTML, CSS, Excel, Python","Web application interface, Scientific explanation, Infographic",i++,something about angles right?,Nope,code,React.js,data binding,"on-line course (6-8 weeks), 1 day in person workshop, multi-day in person workshop",seattle
3/9/2015 17:06:20,"selectAll("".answers"").enter()","For fun, For work","JavaScript, HTML, CSS, Excel, Python","Business intelligence, Scientific explanation, Infographic",i++,something about angles right?,Principles!,code,"jQuery, pandas",reusable charts,"multi-day in person workshop, 1 day online workshop, 1:1 tutoring",New Orleans
3/9/2015 17:07:34,I looked at some examples!,"For fun, For work, To get a job, To express myself","JavaScript, HTML, CSS, Adobe Illustrator, Sketch App, Excel, Tableau, R, Python","Web application interface, Business intelligence, Interactive data visualizations",i++,something about angles right?,Principles!,Tableau,"Processing, ggplot2",no idea,on-line course (6-8 weeks),Calgary
3/9/2015 17:10:56,I've forked a bl.ock or two,For work,"JavaScript, Excel, Python",Business intelligence,i++,something about angles right?,Nope,excel,jQuery,data binding,1 day online workshop,Atlanta
3/9/2015 17:12:20,"selectAll("".answers"").enter()","For fun, For work, To express myself","JavaScript, HTML, CSS, Adobe Illustrator, R, Python","Web application interface, Business intelligence, Scientific explanation, Infographic",i++,its a sinh!,Principles!,R/ggvis,"jQuery, Processing, ggplot2",data binding,"on-line course (6-8 weeks), 1 day in person workshop, multi-day in person workshop, 1:1 tutoring",Brisbane
3/9/2015 17:14:32,I looked at some examples!,"For fun, For work","JavaScript, HTML, CSS, Adobe Illustrator, Excel, Python","Portfolio site, Web application interface, News articles, Business intelligence, Scientific explanation, Infographic",i++,something about angles right?,Nope,excel,"jQuery, Backbone.js",no idea,on-line course (6-8 weeks),"morristown, nj"
3/9/2015 17:14:51,I've forked a bl.ock or two,"For fun, For work, To get a job, To express myself","JavaScript, HTML, CSS, Excel, Matlab","Portfolio site, News articles, Infographic",i++,SOHCAHTOA!,Nope,code,"jQuery, AngularJS",transitions,"1 day in person workshop, multi-day in person workshop",New York City
3/9/2015 17:19:17,"selectAll("".answers"").enter()",For work,"JavaScript, HTML, CSS, Adobe Illustrator","Business intelligence, Infographic",i++,its a sinh!,Nope,code,"jQuery, React.js",Cool dataviz,,New York 
3/9/2015 17:20:59,I looked at some examples!,"For fun, For work, To get a job, To express myself","HTML, CSS, Excel",Web application interface,No,something about angles right?,Principles!,pen & paper,jQuery,no idea,"1 day in person workshop, multi-day in person workshop",New York
3/9/2015 17:21:17,I've forked a bl.ock or two,"For fun, For work, For school","HTML, CSS, Excel, Matlab, R","Portfolio site, Scientific explanation, Infographic",i++,SOHCAHTOA!,Nope,pen & paper,,data binding,,Ottawa
3/9/2015 17:21:49,I looked at some examples!,For work,"HTML, Excel",Business intelligence,i++,SOHCAHTOA!,Nope,excel,,reusable charts,"on-line course (6-8 weeks), multi-day in person workshop, 1 day online workshop, 1:1 tutoring",Lisbon
3/9/2015 17:22:43,"selectAll("".answers"").enter()","For fun, For work, To express myself","JavaScript, HTML, CSS, Adobe Illustrator, Excel, Python","Portfolio site, Web application interface, Infographic",i++,SOHCAHTOA!,Nope,code,"jQuery, React.js, Backbone.js",layout,"1 day in person workshop, multi-day in person workshop",San Francisco
3/9/2015 17:29:08,I looked at some examples!,"For work, To express myself","Adobe Illustrator, Excel, R, Python",Web application interface,i++,SOHCAHTOA!,Principles!,excel,pandas,data binding,"on-line course (6-8 weeks), 1 day online workshop",Nyc
3/9/2015 17:36:21,I've forked a bl.ock or two,"For fun, To get a job, To express myself","JavaScript, HTML, CSS, Excel, Matlab","Web application interface, Infographic, Map rendering from GeoJSON.",i++,its a sinh!,Principles!,excel,"jQuery, AngularJS, ggplot2",data binding,multi-day in person workshop,New York City.
3/9/2015 17:39:50,I looked at some examples!,"For fun, For work","JavaScript, HTML, CSS, Excel, Python","Portfolio site, Web application interface, Infographic",i++,its a sinh!,Principles!,highcharts,"jQuery, AngularJS",reusable charts,multi-day in person workshop,
3/9/2015 17:44:17,I've forked a bl.ock or two,For work,"HTML, Adobe Illustrator, Excel, Matlab, R, Python","Web application interface, Business intelligence",i++,its a sinh!,Nope,code,pandas,transitions,on-line course (6-8 weeks),"Houston, TX"
3/9/2015 17:47:52,I looked at some examples!,"For fun, For work, For school, To express myself","JavaScript, HTML, CSS, Adobe Illustrator, Sketch App, Excel, R, Python",Scientific explanation,i++,SOHCAHTOA!,Principles!,code,"jQuery, AngularJS, ggplot2",transitions,multi-day in person workshop,Salt Lake City
3/9/2015 17:50:10,I looked at some examples!,To get a job,"JavaScript, HTML, CSS, Excel, Python","Web application interface, Infographic",i++,SOHCAHTOA!,Principles!,code,"jQuery, AngularJS",reusable charts,on-line course (6-8 weeks),"Washington, DC"
3/9/2015 17:59:36,I looked at some examples!,"For fun, For work, To get a job, To express myself","JavaScript, HTML, CSS, Adobe Illustrator, Sketch App, Excel","Portfolio site, Web application interface, Infographic",No,something about angles right?,Principles!,illustrator,jQuery,data binding,Inexpensive video tutorials,
3/9/2015 18:03:43,I looked at some examples!,"For fun, For work","JavaScript, HTML, CSS, Adobe Illustrator, Sketch App, Excel","News articles, Infographic",i++,its a sinh!,Principles!,excel,jQuery,data binding,"1 day in person workshop, multi-day in person workshop, 1 day online workshop",Los Angeles
